,duration(s),microsiemens,normalized_time,participantID,tag0,tag1
304,2571.4695584774017,25.276716,76.0,Participant_1493663240_A01890.p,False,
305,2571.719579935074,25.691793,76.3,Participant_1493663240_A01890.p,False,
306,2571.9696011543274,25.877552,76.5,Participant_1493663240_A01890.p,False,
307,2572.2196226119995,25.951857,76.8,Participant_1493663240_A01890.p,False,
308,2572.469643831253,25.96851,77.0,Participant_1493663240_A01890.p,False,
309,2572.719665288925,25.448383,77.3,Participant_1493663240_A01890.p,False,
310,2572.9696865081787,25.555996,77.5,Participant_1493663240_A01890.p,False,
311,2573.219707965851,25.882677,77.8,Participant_1493663240_A01890.p,False,
312,2573.469729423523,25.557278,78.0,Participant_1493663240_A01890.p,False,
313,2573.7197506427765,25.292089,78.3,Participant_1493663240_A01890.p,False,
314,2573.9697721004486,25.111454,78.5,Participant_1493663240_A01890.p,False,
315,2574.219793319702,24.879576,78.8,Participant_1493663240_A01890.p,False,
316,2574.4698147773743,24.378239,79.0,Participant_1493663240_A01890.p,False,
317,2574.719835996628,24.092533,79.3,Participant_1493663240_A01890.p,False,
318,2574.9698574543,24.257795,79.5,Participant_1493663240_A01890.p,False,
319,2575.2198786735535,24.177086,79.8,Participant_1493663240_A01890.p,False,
320,2575.4699001312256,24.069473,80.0,Participant_1493663240_A01890.p,False,
321,2575.719921350479,23.958017,80.3,Participant_1493663240_A01890.p,False,
322,2575.9699428081512,23.52298,80.5,Participant_1493663240_A01890.p,False,
323,2576.219964027405,23.498638,80.8,Participant_1493663240_A01890.p,False,
324,2576.469985485077,23.139223,81.0,Participant_1493663240_A01890.p,False,
325,2576.720006942749,23.845108,81.3,Participant_1493663240_A01890.p,False,
326,2576.9700281620026,23.978342,81.5,Participant_1493663240_A01890.p,False,
327,2577.2200496196747,23.738777,81.8,Participant_1493663240_A01890.p,False,
328,2577.470070838928,23.708031,82.0,Participant_1493663240_A01890.p,False,
329,2577.7200922966003,23.683689,82.3,Participant_1493663240_A01890.p,False,
330,2577.970113515854,24.001402,82.5,Participant_1493663240_A01890.p,False,
331,2578.220134973526,24.319822,82.8,Participant_1493663240_A01890.p,False,
332,2578.4701561927795,24.314699,83.0,Participant_1493663240_A01890.p,False,
333,2578.7201776504517,24.24552,83.3,Participant_1493663240_A01890.p,False,
