normalized_time,Participant_1493663240_A01890.p,Participant_1496443804_A01890.p
630.0,,89.28
631.0,,89.33
632.0,,89.35
633.0,,89.33
634.0,,89.28
635.0,,89.33
636.0,,89.4
637.0,,89.58
638.0,,89.85
639.0,,90.13
640.0,,90.37
641.0,,90.57
642.0,,90.83
643.0,,91.13
644.0,,91.47
645.0,,91.83
646.0,,92.13
647.0,,92.42
648.0,,92.82
649.0,,93.17
650.0,,93.55
651.0,,93.97
652.0,,94.38
653.0,,94.9
654.0,,95.4
655.0,,95.97
656.0,,96.52
657.0,,97.12
658.0,,97.68
659.0,,98.18
660.0,,98.83
661.0,,99.4
662.0,,99.8
663.0,,100.4
664.0,,100.98
665.0,,101.67
666.0,,102.32
667.0,,102.92
668.0,,103.53
669.0,,104.07
670.0,,104.6
671.0,,105.17
672.0,,105.7
673.0,,106.3
674.0,,106.73
675.0,,107.17
676.0,,107.65
677.0,,107.83
678.0,,107.98
679.0,,108.13
680.0,,108.28
681.0,,108.45
682.0,,108.58
683.0,,108.7
684.0,,108.77
685.0,,108.87
686.0,,108.97
687.0,,109.02
688.0,,109.05
689.0,,109.03
690.0,,109.08
691.0,,109.13
692.0,,109.2
693.0,,109.27
694.0,,109.38
695.0,,109.42
696.0,,109.45
697.0,,109.5
698.0,,109.48
699.0,,109.45
700.0,,109.47
701.0,,109.5
702.0,,109.48
703.0,,109.47
704.0,,109.45
705.0,,109.42
706.0,,109.4
707.0,,109.4
708.0,,109.27
709.0,,109.18
710.0,,109.1
711.0,,109.03
712.0,,108.98
713.0,,108.82
714.0,,108.67
715.0,,108.53
716.0,,108.35
717.0,,108.15
718.0,,107.97
719.0,,107.82
720.0,,107.67
721.0,,107.52
722.0,,107.37
723.0,,107.15
724.0,,106.98
725.0,,106.82
726.0,,106.65
727.0,,106.47
728.0,,106.28
729.0,,106.1
730.0,,105.95
731.0,,105.88
732.0,,105.87
733.0,,105.7
734.0,,105.7
735.0,,105.72
736.0,,105.73
737.0,,105.73
738.0,,105.7
739.0,,105.68
740.0,,105.65
741.0,,105.6
742.0,,105.55
743.0,,105.47
744.0,,105.38
745.0,,105.32
746.0,,105.25
747.0,,105.15
748.0,,105.07
749.0,,105.03
750.0,,105.03
751.0,,105.0
752.0,,104.93
753.0,,104.9
754.0,,104.82
755.0,,104.85
756.0,,104.87
757.0,,104.82
758.0,,104.77
759.0,,104.77
760.0,,104.75
761.0,,104.73
762.0,,104.7
763.0,,104.67
764.0,,104.58
765.0,,104.53
766.0,,104.52
767.0,,104.5
768.0,,104.57
769.0,,104.58
770.0,,104.6
771.0,,104.63
772.0,,104.67
773.0,,104.7
774.0,,104.77
775.0,,104.8
776.0,,104.9
777.0,,104.95
778.0,,105.02
779.0,,105.08
780.0,,105.13
781.0,,105.18
782.0,,105.23
783.0,,105.3
784.0,,105.33
785.0,,105.35
786.0,,105.35
787.0,,105.37
788.0,,105.38
789.0,,105.4
790.0,,105.48
791.0,,105.57
792.0,,105.6
793.0,,105.8
794.0,,105.93
795.0,,106.05
796.0,,106.15
797.0,,106.3
798.0,,106.35
799.0,,106.33
800.0,,106.3
801.0,,106.27
802.0,,106.23
803.0,,106.1
804.0,,106.02
805.0,,105.92
806.0,,105.82
807.0,,105.73
808.0,,105.68
809.0,,105.55
810.0,,105.38
811.0,,105.28
812.0,,105.2
813.0,,105.1
814.0,,105.03
815.0,,104.82
816.0,,104.72
817.0,,104.63
818.0,,104.67
819.0,,104.63
820.0,,104.63
821.0,,104.67
822.0,,104.68
823.0,,104.7
824.0,,104.73
825.0,,104.77
826.0,,104.75
827.0,,104.72
828.0,,104.62
829.0,,104.52
830.0,,104.4
831.0,,104.3
832.0,,104.18
833.0,,104.07
834.0,,103.9
835.0,,103.75
836.0,,103.53
837.0,,103.37
838.0,,103.2
839.0,,103.02
840.0,,102.83
841.0,,102.63
842.0,,102.43
843.0,,102.28
844.0,,102.15
845.0,,102.03
846.0,,101.93
847.0,,101.82
848.0,,101.72
849.0,,101.48
850.0,,101.2
851.0,,100.88
852.0,,100.58
853.0,,100.27
854.0,,100.0
855.0,,99.73
856.0,,99.47
857.0,,99.17
858.0,,98.98
859.0,,98.87
860.0,,98.77
861.0,,98.67
862.0,,98.58
863.0,,98.62
864.0,,98.63
865.0,,98.63
866.0,,98.62
867.0,,98.62
868.0,,98.53
869.0,,98.47
870.0,,98.38
871.0,,98.25
872.0,,98.13
873.0,,97.98
874.0,,97.85
875.0,,97.77
876.0,,97.62
877.0,,97.52
878.0,,97.32
879.0,,97.18
880.0,,97.07
881.0,,96.93
882.0,,96.82
883.0,,96.72
884.0,,96.68
885.0,,96.6
886.0,,96.53
